,Education_Ranking,Cities,Tolerance,Average_Annual_sunshine,Cluster,Escala_de_Educacion,Escala_de_Tolerancia,Escala_de_Sunshine
0,39,Almaty,66,64,0,Bajo,Alto,Alto
1,0,Andorra,73,0,0,Alto,Alto,Alto
2,43,Ankara,9,243,0,Bajo,Alto,Medio
3,0,Asuncion,49,12,0,Alto,Alto,Alto
4,35,Athens,53,266,0,Bajo,Alto,Bajo
5,0,Baku,43,12,0,Alto,Alto,Alto
6,48,Bali,3,207,0,Bajo,Alto,Alto
7,24,Baltimore,96,0,0,Alto,Medio,Alto
8,47,Bangkok,61,12,0,Bajo,Alto,Alto
9,8,Beijing,21,12,0,Alto,Alto,Alto
10,51,Beirut,18,12,0,Bajo,Alto,Alto
11,0,Belgrade,75,75,0,Alto,Bajo,Alto
12,0,Bengaluru,24,12,0,Alto,Alto,Alto
13,48,Bogota,89,12,0,Bajo,Medio,Alto
14,40,Bucharest,77,12,0,Bajo,Medio,Alto
15,31,Budapest,80,12,0,Bajo,Medio,Alto
16,40,Buenos-Aires,74,124,0,Bajo,Alto,Alto
17,0,Cairo,3,12,0,Alto,Alto,Alto
18,0,cape-town,32,254,0,Alto,Alto,Medio
19,0,Caracas,51,260,0,Alto,Alto,Bajo
20,0,Casablanca,9,0,0,Alto,Alto,Alto
21,0,Chennai,24,12,0,Alto,Alto,Alto
22,47,Chiang-Mai,61,12,0,Bajo,Alto,Alto
23,0,Chisinau,71,0,0,Alto,Alto,Alto
24,40,Cluj-Napoca,77,12,0,Bajo,Medio,Alto
25,52,Curitiba,60,228,0,Bajo,Alto,Alto
26,0,Dar-es-Salaam,26,12,0,Alto,Alto,Alto
27,0,Delhi,24,12,0,Alto,Alto,Alto
28,52,Florianopolis,60,225,0,Bajo,Alto,Alto
29,14,Gdansk,42,181,0,Alto,Alto,Alto
30,0,Gibraltar,89,12,0,Alto,Medio,Alto
31,41,Guadalajara,61,277,0,Bajo,Alto,Bajo
32,0,Guatemala-City,80,222,0,Alto,Medio,Alto
33,0,Havana,78,265,0,Alto,Medio,Bajo
34,22,Ho-Chi-Minh-City,55,12,0,Alto,Alto,Alto
35,0,Hyderabad,24,12,0,Alto,Alto,Alto
36,43,Istanbul,9,12,0,Bajo,Alto,Alto
37,51,Jakarta,3,246,0,Bajo,Alto,Medio
38,0,Johannesburg,32,12,0,Alto,Alto,Alto
39,0,Kathmandu,87,12,0,Alto,Medio,Alto
40,0,Kiev,71,0,0,Alto,Alto,Alto
41,0,Kingston,34,12,0,Alto,Alto,Alto
42,14,Krakow,42,217,0,Alto,Alto,Alto
43,38,Kuala-Lumpur,9,12,0,Bajo,Alto,Alto
44,0,Lagos,1,312,0,Alto,Alto,Bajo
45,0,La-Paz,43,12,0,Alto,Alto,Alto
46,47,Lima,69,12,0,Bajo,Alto,Alto
47,18,Lisbon,95,218,0,Alto,Medio,Alto
48,0,Lviv,71,31,0,Alto,Alto,Alto
49,0,Managua,83,252,0,Alto,Medio,Medio
50,0,Manila,73,12,0,Alto,Alto,Alto
51,48,Medellin,89,12,0,Bajo,Medio,Alto
52,46,Mexico-City,61,12,0,Bajo,Alto,Alto
53,0,Minsk,56,13,0,Alto,Alto,Alto
54,34,Montevideo,96,302,0,Bajo,Medio,Bajo
55,21,Moscow,16,0,0,Alto,Alto,Alto
56,0,Mumbai,24,12,0,Alto,Alto,Alto
57,0,Nairobi,8,12,0,Alto,Alto,Alto
58,0,Palo-Alto,0,0,0,Alto,Alto,Alto
59,0,Panama,60,102,0,Alto,Alto,Alto
60,0,Phnom-Penh,55,282,0,Alto,Alto,Bajo
61,43,Phuket,61,12,0,Bajo,Alto,Alto
62,18,Porto,95,12,0,Alto,Medio,Alto
63,52,Porto-Alegre,60,242,0,Bajo,Alto,Medio
64,0,Quito,86,12,0,Alto,Medio,Alto
65,25,Riga,74,13,0,Bajo,Alto,Alto
66,52,Rio-De-Janeiro,60,12,0,Bajo,Alto,Alto
67,21,Saint-Petersburg,16,13,0,Alto,Alto,Alto
68,39,San-Jose,77,271,0,Bajo,Medio,Bajo
69,0,San-Juan,73,70,0,Alto,Alto,Alto
70,0,San-Salvador,34,12,0,Alto,Alto,Alto
71,37,Santiago,68,12,0,Bajo,Alto,Alto
72,0,Santo-Domingo,41,12,0,Alto,Alto,Alto
73,52,Sao-Paulo,60,12,0,Bajo,Alto,Alto
74,0,Sarajevo,78,236,0,Alto,Medio,Alto
75,8,Shanghai,21,12,0,Alto,Alto,Alto
76,0,Skopje,61,12,0,Alto,Alto,Alto
77,36,Sofia,79,12,0,Bajo,Medio,Alto
78,4,Tallinn,75,13,0,Alto,Bajo,Alto
79,4,Tartu,75,236,0,Alto,Bajo,Alto
80,0,Tashkent,47,113,0,Alto,Alto,Alto
81,0,Tbilisi,80,12,0,Alto,Medio,Alto
82,0,Tehran,10,12,0,Alto,Alto,Alto
83,35,Thessaloniki,53,0,0,Bajo,Alto,Alto
84,49,Tunis,23,12,0,Bajo,Alto,Alto
85,30,Vilnius,82,49,0,Bajo,Medio,Alto
86,14,Warsaw,42,12,0,Alto,Alto,Alto
87,10,Wroclaw,42,12,0,Alto,Alto,Alto
88,0,Yerevan,59,286,0,Alto,Alto,Bajo
89,22,Zagreb,80,12,0,Alto,Medio,Alto
