,Education_Ranking,Cities,Tolerance,Average_Annual_sunshine,Cluster,Escala_de_Educacion,Escala_de_Tolerancia,Escala_de_Sunshine
0,13,Aarhus,93,0,1,Alto,Medio,Alto
1,16,Adelaide,79,12,1,Alto,Medio,Alto
2,10,Amsterdam,97,12,1,Alto,Medio,Alto
3,12,Auckland,93,182,1,Alto,Medio,Alto
4,22,Barcelona,88,73,1,Alto,Medio,Alto
5,17,Belfast,76,209,1,Alto,Medio,Alto
6,10,Berlin,87,160,1,Alto,Medio,Alto
7,17,Bilbao,88,35,1,Alto,Medio,Alto
8,17,Birmingham,76,12,1,Alto,Medio,Alto
9,26,Bologna,74,288,1,Bajo,Alto,Bajo
10,19,Bordeaux,77,12,1,Alto,Medio,Alto
11,34,Bratislava,69,12,1,Bajo,Alto,Alto
12,17,Brighton,76,0,1,Alto,Medio,Alto
13,16,Brisbane,79,12,1,Alto,Medio,Alto
14,17,Bristol,76,116,1,Alto,Medio,Alto
15,21,Brno,81,12,1,Alto,Medio,Alto
16,15,Brussels,92,12,1,Alto,Medio,Alto
17,5,Calgary,80,297,1,Alto,Medio,Bajo
18,17,Cambridge,76,0,1,Alto,Medio,Alto
19,17,Cardiff,76,12,1,Alto,Medio,Alto
20,12,Christchurch,93,238,1,Alto,Medio,Alto
21,10,Cologne,87,138,1,Alto,Medio,Alto
22,13,Copenhagen,93,13,1,Alto,Medio,Alto
23,10,Dresden,87,298,1,Alto,Medio,Bajo
24,9,Dusseldorf,87,0,1,Alto,Medio,Alto
25,17,Edinburgh,76,227,1,Alto,Medio,Alto
26,5,Edmonton,80,288,1,Alto,Medio,Bajo
27,10,Eindhoven,97,281,1,Alto,Medio,Bajo
28,26,Florence,74,282,1,Bajo,Alto,Bajo
29,10,Frankfurt,87,302,1,Alto,Medio,Bajo
30,3,Fukuoka,54,90,1,Alto,Alto,Alto
31,17,Glasgow,76,198,1,Alto,Medio,Alto
32,19,Gothenburg,93,13,1,Alto,Medio,Alto
33,19,Grenoble,77,12,1,Alto,Medio,Alto
34,5,Halifax,80,200,1,Alto,Medio,Alto
35,9,Hamburg,87,13,1,Alto,Medio,Alto
36,10,Hannover,87,296,1,Alto,Medio,Bajo
37,6,Helsinki,77,13,1,Alto,Medio,Alto
38,20,Innsbruck,88,281,1,Alto,Medio,Bajo
39,10,Karlsruhe,87,285,1,Alto,Medio,Bajo
40,3,Kyoto,54,0,1,Alto,Alto,Alto
41,17,Las-Palmas-de-Gran-Canaria,88,65,1,Alto,Medio,Alto
42,17,Leeds,76,91,1,Alto,Medio,Alto
43,9,Leipzig,87,290,1,Alto,Medio,Bajo
44,19,Lille,77,12,1,Alto,Medio,Alto
45,17,Liverpool,76,89,1,Alto,Medio,Alto
46,9,Ljubljana,70,200,1,Alto,Alto,Alto
47,17,London,76,241,1,Alto,Medio,Medio
48,19,Lyon,77,12,1,Alto,Medio,Alto
49,22,Madrid,88,94,1,Alto,Medio,Alto
50,17,Malaga,88,107,1,Alto,Medio,Alto
51,13,Malmo,93,0,1,Alto,Medio,Alto
52,17,Manchester,76,13,1,Alto,Medio,Alto
53,19,Marseille,77,12,1,Alto,Medio,Alto
54,16,Melbourne,79,12,1,Alto,Medio,Alto
55,26,Milan,74,12,1,Bajo,Alto,Alto
56,5,Montreal,80,12,1,Alto,Medio,Alto
57,10,Munich,87,12,1,Alto,Medio,Alto
58,19,Nantes,77,12,1,Alto,Medio,Alto
59,26,Naples,74,12,1,Bajo,Alto,Alto
60,19,Nice,77,0,1,Alto,Medio,Alto
61,39,Nicosia,73,336,1,Bajo,Alto,Bajo
62,3,Osaka,54,12,1,Alto,Alto,Alto
63,5,Ottawa,80,246,1,Alto,Medio,Medio
64,6,Oulu,77,13,1,Alto,Medio,Alto
65,17,Oxford,76,0,1,Alto,Medio,Alto
66,19,Paris,77,180,1,Alto,Medio,Alto
67,16,Perth,79,12,1,Alto,Medio,Alto
68,21,Prague,81,12,1,Alto,Medio,Alto
69,5,Quebec,80,12,1,Alto,Medio,Alto
70,28,Reykjavik,92,13,1,Bajo,Medio,Alto
71,26,Rome,74,12,1,Bajo,Alto,Alto
72,12,Rotterdam,97,130,1,Alto,Medio,Alto
73,5,Saskatoon,80,299,1,Alto,Medio,Bajo
74,7,Seoul,39,250,1,Alto,Alto,Medio
75,22,Seville,88,129,1,Alto,Medio,Alto
76,19,Stockholm,93,0,1,Alto,Medio,Alto
77,10,Stuttgart,87,12,1,Alto,Medio,Alto
78,16,Sydney,79,12,1,Alto,Medio,Alto
79,5,Taipei,66,161,1,Alto,Alto,Alto
80,6,Tampere,77,0,1,Alto,Medio,Alto
81,32,Tel-Aviv,40,287,1,Bajo,Alto,Bajo
82,12,The-Hague,97,0,1,Alto,Medio,Alto
83,3,Tokyo,54,12,1,Alto,Alto,Alto
84,5,Toronto,80,12,1,Alto,Medio,Alto
85,19,Toulouse,77,291,1,Alto,Medio,Bajo
86,26,Turin,74,12,1,Bajo,Alto,Alto
87,6,Turku,77,13,1,Alto,Medio,Alto
88,19,Uppsala,93,13,1,Alto,Medio,Alto
89,10,Utrecht,97,0,1,Alto,Medio,Alto
90,22,Valencia,88,91,1,Alto,Medio,Alto
91,0,Valletta,88,12,1,Alto,Medio,Alto
92,5,Vancouver,80,199,1,Alto,Medio,Alto
93,5,Victoria,80,213,1,Alto,Medio,Alto
94,20,Vienna,88,172,1,Alto,Medio,Alto
95,12,Wellington,93,180,1,Alto,Medio,Alto
96,5,Winnipeg,80,12,1,Alto,Medio,Alto
