,Climate,Growth,GDP_per_capita,Unemployment,Homosexuality_acceptance,LGBT_adoption_rights,LGBT_homosexuality_rights,LGBT_marriage_rights,VAT_Sales_Tax,Art_galleries,Concert_venues,Museums,Sport_venues,Currency_for_urban_area,GDP_per_capita,Monthly_Fitness_Club_Membership,Beer,Monthly_Public_Transport,Lunch,Airport_score,Airport_hub,Intercity_train_connectivity,Gun_related_deaths,Guns_per_residents,Pisa_ranking,Best_university,Large_apartment,Medium_apartment,Small_apartment,Description,Poblacion,Cities
0,No hay dato,5%,"$44,343",4%,93.03,✔ Equal,✔ Sexual orientation and gender identity,0.99,0.25,51,95,18,21,DKK,$44342.66,$37.00,$1.70,$62.00,$15.00,0.12,8,0.59,1,12,13,Aarhus University,$1700,$1300,$840,"Aarhus, Denmark, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.","250,200",Aarhus
1,12.6,7%,"$46,433",6%,0.79,N/A,✔ Legal,Varies by Region,0.10,82,89,37,91,AUD,$46433.30,$50.00,$4.30,$80.00,$13.00,0.19,26,0.17,1,24,16,University of Adelaide,$1500,$1200,$1000,"Adelaide, Australia, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.","1,708,700",Adelaide
2,168,7%,"$54,597",5%,93.13,✔ Equal,✔ Sexual orientation and gender identity,0.45,0.07,127,99,35,10,USD,$54596.65,$52.00,$2.90,$37.00,$12.00,0.18,23,0.11,16,328,24,University of New Mexico,$1200,$950,$760,"Albuquerque, New Mexico, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.","630,800",Albuquerque
3,64,9%,"$24,020",6%,66.56,✔ Equal,Ambiguous,0.64,0.12,61,68,24,53,KZT,$24019.95,$83.00,$0.68,$19.00,$5.70,0.26,45,0.66,1,1,39,427.97,$620,$480,$340,"Almaty, Kazakhstan, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, safety and taxation.","2,029,800",Almaty
4,12.9,3%,"$47,355",6%,97.37,✔ Equal,✔ Sexual orientation and gender identity,0.67,0.21,284,339,187,154,EUR,$47354.53,$49.00,$2.10,$100.00,$18.00,0.98,237,0.68,1,4,10,University of Amsterdam,$2400,$2000,$1600,"Amsterdam is one of the most bike-friendly cities on the planet: It has more bikes than people and 63% of its residents use them for their daily commute. It is also one of the best cities in Europe for starting and operating a business. With its clean environment, cultural diversity and well-developed infrastructure, Amsterdam is a great place to live.
Amsterdam is one of the top ten city matches for 20.1% of Teleport users.","2,628,100",Amsterdam
5,61,4%,"$54,597",5%,76.56,✔ Equal,✖ No protections,0.64,No hay dato,65,27,24,9,USD,$54596.65,$61.00,$2.40,$57.00,$17.00,0.23,38,0.11,20,135,16,478.04,$1700,$1400,$1000,"Anchorage, Alaska, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in business freedom, healthcare and tolerance.","305,300",Anchorage
6,No hay dato,-1%,4%,No hay dato,73.05,✔ Equal,Sexual orientation only,1.00,No hay dato,10,8,21,5,EUR,No hay dato,$9.40,$2.10,No hay dato,$49.00,No hay dato,0.10,No hay dato,2,17,No hay dato,No hay dato,$970,$800,$640,"Andorra features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in environmental quality, internet access and tolerance.","73,900",Andorra
7,243,13%,"$19,610",10%,0.09,Ambiguous,✔ Legal,✖ Unrecognized,0.18,184,200,88,177,TRY,$19610.44,$33.00,$2.00,$30.00,$7.30,0.25,42,0.16,2,13,43,Bilkent University,$390,$330,$270,"Ankara, Turkey, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and leisure & culture.
Ankara is one of the top ten city matches for 0.9% of Teleport users.","5,072,900",Ankara
8,101,6%,"$54,597",5%,67.58,Ambiguous,✖ No protections,0.86,0.07,78,73,24,20,USD,$54596.65,$35.00,$2.20,$22.00,$13.00,0.12,8,0.12,12,95,16,478.04,$1500,$1300,$1100,"Asheville, North Carolina, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and tolerance.","112,400",Asheville
9,12.5,12%,"$8,449",6%,49.54,✖ Unequal,✖ No protections,0.92,0.10,193,277,72,226,PYG,$8448.58,$30.00,$1.10,$26.00,$4.30,0.13,10,No hay dato,8,17,No hay dato,No hay dato,$710,$550,$390,"Asuncion, Paraguay, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, safety and taxation.","2,385,900",Asuncion
10,266.7,-2%,"$25,859",25%,0.53,✖ Single only,✔ Legal,✔ Civil unions,0.24,50,96,78,100,EUR,$25858.77,$42.00,$1.80,$40.00,$16.00,0.48,104,0.26,2,23,35,National and Kapodistrian University of Athens,$690,$560,$430,"Athens, the birthplace of democracy, is a city with deep roots in history and culture. Its grand architecture, Mediterranean climate and millions of annual visitors feed a thriving tourism industry, creating thousands of Athens jobs. Shipping, finance and international trade are also important elements of Athens, which offers affordable housing and proximity to countless recreational and cultural activities .
Athens is one of the top ten city matches for 0.7% of Teleport users.","3,868,500",Athens
11,110,10%,"$54,597",5%,70.00,✔ Equal,✖ No protections,0.10,0.08,308,291,168,202,USD,$54596.65,$37.00,$2.20,$96.00,$15.00,0.91,217,0.15,13,118,24,Georgia Institute of Technology,$1800,$1400,$1100,"Atlanta, Georgia, is among the best cities with a vibrant startup scene. According to our city rankings, this is a good place to live with high ratings in venture capital, business freedom and healthcare.
Atlanta is one of the top ten city matches for 6.5% of Teleport users.","2,928,400",Atlanta
12,182.9,6%,"$35,152",5%,93.65,✔ Equal,✔ Sexual orientation and gender identity,0.52,0.15,69,54,30,63,NZD,$35151.75,$48.00,$3.80,$140.00,$13.00,0.26,45,No hay dato,1,23,12,University of Auckland,$2000,$1600,$1200,"Auckland, New Zealand, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.
Auckland is one of the top ten city matches for 1.7% of Teleport users.","1,359,700",Auckland
13,116,16%,"$54,597",5%,64.44,✔ Equal,✖ No protections,0.71,0.08,149,132,54,71,USD,$54596.65,$51.00,$3.00,$50.00,$14.00,0.26,44,0.11,11,123,24,University of Texas at Austin,$2000,$1600,$1300,"Austin, Texas, is among the best cities with a vibrant startup scene. According to our city rankings, this is a good place to live with high ratings in venture capital, business freedom and healthcare.
Austin is one of the top ten city matches for 9.0% of Teleport users.","1,531,800",Austin
14,12.7,5%,"$17,618",6%,43.77,✔ Equal,✖ No protections,0.89,0.18,70,72,56,89,AZN,$17618.28,$38.00,$0.89,$9.90,$6.40,0.24,39,0.20,0,4,No hay dato,No hay dato,$430,$340,$250,"Baku, Azerbaijan, differentiates itself with low living costs. Our data reflects that this city has a good ranking in housing and safety.
Baku is one of the top ten city matches for 1.6% of Teleport users.","1,512,400",Baku
15,207,8%,"$10,641",6%,0.03,Married couples only,Varies by Region,✖ Unrecognized,0.10,171,157,80,68,IDR,$10640.90,$16.00,$2.10,$4.20,$43.00,0.25,42,0.14,1,1,48,362.42,$290,$230,$180,"Bali, Indonesia, features a very safe living environment. This urban area is consistently ahead in outdoors.
Bali is one of the top ten city matches for 0.7% of Teleport users.","1,356,600",Bali
16,No hay dato,80,No hay dato,No hay dato,96.88,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,0.43,No hay dato,$59.00,$2.10,$68.00,$13.00,0.25,0.48,No hay dato,10,119,24,Johns Hopkins University,$1900,$1600,$1200,This urban area is consistently ahead in healthcare.,38,Baltimore
17,12.5,10%,"$14,354",1%,61.15,✔ Equal,✔ Sexual orientation and gender identity,0.59,0.10,291,295,304,196,THB,$14354.30,$77.00,$1.80,$35.00,$4.20,0.62,139,0.21,1,16,47,Mahidol University,$1300,$910,$540,"Bangkok, Thailand, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and safety.
Bangkok is one of the top ten city matches for 2.7% of Teleport users.","9,052,100",Bangkok
18,73,0%,"$33,711",20%,0.88,✔ Legal,✔ Legal,✔ Legal,0.21,98,169,89,141,EUR,$33711.41,$54.00,$0.98,$62.00,$14.00,0.71,163,0.46,1,10,22,Autonomous University of Barcelona,$1500,$1200,$980,"Barcelona offers an engaging mix of relaxed lifestyle and innovative business environment, making it one of the most attractive startup scenes in Europe. The city also boasts a great cultural heritage and a modern, active social scene that highlights sports, city beaches and excellent local food. Adding the affordable high quality health services and good travel connections, and Barcelona will appeal to many.
Barcelona is one of the top ten city matches for 2.3% of Teleport users.","6,626,600",Barcelona
19,12.7,18%,"$12,880",4%,0.21,✖ Illegal,✔ Legal,✖ Not legal,0.17,60,65,59,55,CNY,$12879.85,$94.00,$0.90,$30.00,$6.70,0.90,215,0.50,0,5,8,Peking University,$1700,$1300,$860,"Beijing, China, is among the leading cities with a higher number of accelerators or available funding. According to our city rankings, this is a good place to live with high ratings in cost of living, travel connectivity and safety.
Beijing is one of the top ten city matches for 2.5% of Teleport users.","12,377,000",Beijing
20,12.6,7%,"$17,986",No hay dato,0.18,✔ Legal,Ambiguous,✖ Unrecognized,0.10,153,86,16,3,LBP,$17985.86,$73.00,$1.30,$62.00,$19.00,0.26,45,No hay dato,1,21,51,American University of Beirut,$1400,$1000,$720,"Beirut, Lebanon, is characterized by low taxes. Our data reflects that this city has a good ranking in housing and safety.","3,176,800",Beirut
