,Airport_score,url
0,0.12,https://teleport.org/cities/aarhus/
1,0.19,https://teleport.org/cities/adelaide/
2,0.18,https://teleport.org/cities/albuquerque/
3,0.26,https://teleport.org/cities/almaty/
4,0.98,https://teleport.org/cities/amsterdam/
5,0.23,https://teleport.org/cities/anchorage/
6,No hay dato,https://teleport.org/cities/andorra/
7,0.25,https://teleport.org/cities/ankara/
8,0.12,https://teleport.org/cities/asheville/
9,0.13,https://teleport.org/cities/asuncion/
10,0.48,https://teleport.org/cities/athens/
11,0.91,https://teleport.org/cities/atlanta/
12,0.26,https://teleport.org/cities/auckland/
13,0.26,https://teleport.org/cities/austin/
14,0.24,https://teleport.org/cities/baku/
15,0.25,https://teleport.org/cities/bali/
16,0.25,https://teleport.org/cities/baltimore/
17,0.62,https://teleport.org/cities/bangkok/
18,0.71,https://teleport.org/cities/barcelona/
19,0.90,https://teleport.org/cities/beijing/
20,0.26,https://teleport.org/cities/beirut/
21,0.23,https://teleport.org/cities/belfast/
22,0.28,https://teleport.org/cities/belgrade/
23,0.24,https://teleport.org/cities/bengaluru/
24,0.28,https://teleport.org/cities/bergen/
25,0.63,https://teleport.org/cities/berlin/
26,0.35,https://teleport.org/cities/bern/
27,0.25,https://teleport.org/cities/bilbao/
28,0.48,https://teleport.org/cities/birmingham/
29,0.38,https://teleport.org/cities/bogota/
30,0.15,https://teleport.org/cities/boise/
31,0.33,https://teleport.org/cities/bologna/
32,0.28,https://teleport.org/cities/bordeaux/
33,0.48,https://teleport.org/cities/boston/
34,0.73,https://teleport.org/cities/boulder/
35,0.12,https://teleport.org/cities/bozeman/
36,0.65,https://teleport.org/cities/bratislava/
37,1.00,https://teleport.org/cities/brighton/
38,0.31,https://teleport.org/cities/brisbane/
39,0.39,https://teleport.org/cities/bristol/
40,0.10,https://teleport.org/cities/brno/
41,0.80,https://teleport.org/cities/brussels/
42,0.34,https://teleport.org/cities/bucharest/
43,0.38,https://teleport.org/cities/budapest/
44,0.34,https://teleport.org/cities/buenos-aires/
45,0.18,https://teleport.org/cities/buffalo/
46,0.40,https://teleport.org/cities/cairo/
47,0.31,https://teleport.org/cities/calgary/
48,0.79,https://teleport.org/cities/cambridge/
