,Gun_related_deaths,Pisa_ranking,Cities,Homosexuality_acceptance,VAT_Sales_Tax,Sport_venues,GDP_per_capita,Growth_percentage,Unemployment_percentage,Average_Annual_percent_sunshine,Housing,Culture,Travel_connectivity
0,1,13,Aarhus,93.03,0.25,21,44342.66,0.05,0.04,0.0,1280,164,0.355
1,1,16,Adelaide,79.0,0.1,91,46433.3,0.07,0.06,12.6,1233,208,0.18
2,16,24,Albuquerque,93.13,0.07,10,54596.65,0.07,0.05,168.0,970,261,0.145
3,1,39,Almaty,66.56,0.12,53,24019.95,0.09,0.06,64.0,480,153,0.46
4,1,10,Amsterdam,97.37,0.21,154,47354.53,0.03,0.06,12.9,2000,810,0.8300000000000001
5,20,16,Anchorage,76.56,0.0,9,54596.65,0.04,0.05,61.0,1366,116,0.17
6,2,0,Andorra,73.05,0.0,5,0.0,-0.01,0.0,0.0,803,39,0.0
7,2,43,Ankara,9.0,0.18,177,19610.44,0.13,0.1,243.0,330,472,0.20500000000000002
8,12,16,Asheville,67.58,0.07,20,54596.65,0.06,0.05,101.0,1300,175,0.12
9,8,0,Asuncion,49.54,0.1,226,8448.58,0.12,0.06,12.5,550,542,0.065
10,2,35,Athens,53.0,0.24,100,25858.77,-0.02,0.25,266.7,560,224,0.37
11,13,24,Atlanta,70.0,0.08,202,54596.65,0.1,0.05,110.0,1433,767,0.53
12,1,12,Auckland,93.65,0.15,63,35151.75,0.06,0.05,182.9,1600,153,0.13
13,11,24,Austin,64.44,0.08,71,54596.65,0.16,0.05,116.0,1633,335,0.185
14,0,0,Baku,43.77,0.18,89,17618.28,0.05,0.06,12.7,340,198,0.22
15,1,48,Bali,3.0,0.1,68,10640.9,0.08,0.06,207.0,233,408,0.195
16,10,24,Baltimore,96.88,0.0,0,0.0,0.8,0.0,0.0,1566,0,0.125
17,1,47,Bangkok,61.15,0.1,196,14354.3,0.1,0.01,12.5,916,890,0.415
18,1,22,Barcelona,88.0,0.21,141,33711.41,0.0,0.2,73.0,1226,356,0.585
19,0,8,Beijing,21.0,0.17,55,12879.85,0.18,0.04,12.7,1286,184,0.7
20,1,51,Beirut,18.0,0.1,3,17985.86,0.07,0.0,12.6,1040,255,0.13
21,0,17,Belfast,76.0,0.2,13,39510.94,0.01,0.05,209.5,943,122,0.41
22,3,0,Belgrade,75.85,0.2,90,13329.15,-0.01,0.19,75.0,486,131,0.21000000000000002
23,0,0,Bengaluru,24.29,0.06,63,5855.31,0.16,0.08,12.5,330,138,0.40499999999999997
24,2,13,Bergen,93.13,0.25,28,66937.46,0.07,0.05,113.0,1500,105,0.325
25,1,10,Berlin,87.0,0.19,48,45888.42,0.0,0.04,160.0,1183,358,0.7050000000000001
26,3,11,Bern,81.79,0.08,18,58087.21,0.01,0.03,213.0,1700,114,0.5249999999999999
27,1,17,Bilbao,88.0,0.0,17,33711.41,0.82,0.0,35.0,1080,115,0.42
28,0,17,Birmingham,76.0,0.2,92,39510.94,0.03,0.05,12.9,1466,222,0.585
29,26,48,Bogota,89.16,0.16,75,13430.45,0.07,0.1,12.5,570,171,0.19
30,14,16,Boise,72.81,0.06,30,54596.65,0.13,0.05,120.0,1033,192,0.13
31,1,26,Bologna,74.0,0.22,61,35486.17,-0.01,0.11,288.0,933,260,0.365
32,3,19,Bordeaux,77.0,0.2,97,40374.53,0.02,0.1,12.8,993,160,0.49
33,3,24,Boston,96.88,0.06,179,54596.65,0.0,0.05,98.0,2500,785,0.32
34,12,24,Boulder,93.13,0.09,12,54596.65,0.02,0.05,324.0,1800,151,0.42
35,17,24,Bozeman,50.11,0.0,0,54596.65,0.13,0.05,326.0,1293,29,0.12
36,2,34,Bratislava,69.26,0.2,32,28175.34,0.0,0.1,12.8,816,182,0.49
37,0,17,Brighton,76.0,0.2,9,39510.94,0.04,0.05,0.0,0,146,0.8300000000000001
38,1,16,Brisbane,79.0,0.1,65,46433.3,0.07,0.06,12.5,1533,305,0.24
39,0,17,Bristol,76.0,0.2,14,39510.94,0.04,0.05,116.0,1600,134,0.49
40,2,21,Brno,81.25,0.0,36,29925.13,0.01,0.06,12.9,700,170,0.26
41,2,15,Brussels,92.26,0.21,220,42973.43,0.05,0.08,12.9,1160,881,0.745
42,0,40,Bucharest,77.95,0.2,88,19711.63,0.43,0.07,12.7,490,145,0.35
43,1,31,Budapest,80.34,0.27,68,24942.16,0.01,0.07,12.8,660,353,0.44
44,6,40,Buenos-Aires,74.0,0.21,108,22582.5,0.06,0.08,124.0,616,377,0.375
45,4,24,Buffalo,86.72,0.09,69,54596.65,-0.04,0.05,54.0,970,271,0.15
46,33,0,Cairo,3.0,0.13,38,10877.19,0.08,0.13,12.6,250,355,0.375
47,2,5,Calgary,80.0,0.05,40,44843.44,0.11,0.07,297.1,1196,153,0.25
48,0,17,Cambridge,76.0,0.2,8,39510.94,0.06,0.05,0.0,1866,63,0.69
49,33,0,cape-town,32.0,0.14,49,13046.07,0.09,0.27,254.0,1093,291,0.21500000000000002
50,59,0,Caracas,51.0,0.12,24,17694.52,1.27,0.11,260.0,0,294,0.13
51,0,17,Cardiff,76.0,0.2,19,39510.94,0.05,0.05,12.9,996,92,0.49
52,33,0,Casablanca,9.29,0.2,21,7606.2,0.07,0.1,0.0,586,88,0.29
53,16,16,Charleston,70.0,0.09,33,54596.65,0.06,0.05,259.0,1600,240,0.14
54,12,16,Charlotte,67.58,0.07,32,54596.65,0.14,0.05,111.0,1333,319,0.365
55,16,16,Chattanooga,70.0,0.09,28,54596.65,0.03,0.05,105.0,1110,160,0.12
56,0,0,Chennai,24.29,0.06,57,5855.31,0.06,0.08,12.5,0,152,0.42
57,1,47,Chiang-Mai,61.15,0.1,43,14354.3,0.01,0.01,12.5,450,286,0.16999999999999998
58,9,24,Chicago,96.9,0.1,214,54596.65,0.01,0.05,84.0,1700,865,0.55
59,1,0,Chisinau,71.12,0.2,6,4979.33,0.0,0.06,0.0,390,71,0.16
