,Gun_related_deaths,Pisa_ranking,Cities,Homosexuality_acceptance,VAT_Sales_Tax,Sport_venues,GDP_per_capita,Growth_percentage,Unemployment_percentage,Average_Annual_percent_sunshine,Housing,Culture,Travel_connectivity,predict
2,16,24,Albuquerque,93.13,0.07,10,54596.65,0.07,0.05,168.0,970,261,0.145,2
5,20,16,Anchorage,76.56,0.0,9,54596.65,0.04,0.05,61.0,1366,116,0.17,2
8,12,16,Asheville,67.58,0.07,20,54596.65,0.06,0.05,101.0,1300,175,0.12,2
11,13,24,Atlanta,70.0,0.08,202,54596.65,0.1,0.05,110.0,1433,767,0.53,2
13,11,24,Austin,64.44,0.08,71,54596.65,0.16,0.05,116.0,1633,335,0.185,2
24,2,13,Bergen,93.13,0.25,28,66937.46,0.07,0.05,113.0,1500,105,0.325,2
26,3,11,Bern,81.79,0.08,18,58087.21,0.01,0.03,213.0,1700,114,0.5249999999999999,2
30,14,16,Boise,72.81,0.06,30,54596.65,0.13,0.05,120.0,1033,192,0.13,2
33,3,24,Boston,96.88,0.06,179,54596.65,0.0,0.05,98.0,2500,785,0.32,2
34,12,24,Boulder,93.13,0.09,12,54596.65,0.02,0.05,324.0,1800,151,0.42,2
35,17,24,Bozeman,50.11,0.0,0,54596.65,0.13,0.05,326.0,1293,29,0.12,2
45,4,24,Buffalo,86.72,0.09,69,54596.65,-0.04,0.05,54.0,970,271,0.15,2
53,16,16,Charleston,70.0,0.09,33,54596.65,0.06,0.05,259.0,1600,240,0.14,2
54,12,16,Charlotte,67.58,0.07,32,54596.65,0.14,0.05,111.0,1333,319,0.365,2
55,16,16,Chattanooga,70.0,0.09,28,54596.65,0.03,0.05,105.0,1110,160,0.12,2
58,9,24,Chicago,96.9,0.1,214,54596.65,0.01,0.05,84.0,1700,865,0.55,2
61,11,24,Cincinnati,66.79,0.07,79,54596.65,0.01,0.05,82.0,1113,457,0.19,2
62,11,24,Cleveland,66.79,0.08,66,54596.65,-0.04,0.05,66.0,980,384,0.205,2
65,12,16,Colorado-Springs,93.13,0.08,22,54596.65,0.08,0.05,127.0,1196,204,0.125,2
66,11,24,Columbus,66.79,0.07,82,54596.65,0.05,0.05,72.0,1130,313,0.165,2
68,1,9,Cork,85.91,0.23,11,49194.77,-0.02,0.08,161.0,1433,54,0.235,2
70,11,24,Dallas,64.44,0.08,183,54596.65,0.11,0.05,136.0,1433,708,0.475,2
73,12,16,Denver,93.13,0.08,133,54596.65,0.07,0.05,115.0,1700,568,0.425,2
74,8,16,Des-Moines,93.13,0.06,43,54596.65,0.07,0.05,105.0,1033,229,0.14,2
75,12,24,Detroit,63.24,0.06,190,54596.65,-0.03,0.05,76.0,1160,725,0.365,2
76,0,49,Doha,15.48,0.0,42,143426.98,-0.39,0.01,12.6,2266,129,0.265,2
78,1,41,Dubai,23.96,0.0,45,64478.67,0.12,0.02,337.0,2000,256,0.45,2
79,1,9,Dublin,85.91,0.23,46,49194.77,0.04,0.08,174.0,2100,181,0.475,2
84,12,24,Eugene,96.88,0.0,9,54596.65,0.02,0.05,75.0,1116,129,0.12,2
87,12,24,Fort-Collins,93.13,0.07,9,54596.65,0.07,0.05,330.0,1433,153,0.11,2
91,3,11,Geneva,81.79,0.08,65,58087.21,0.07,0.03,44.0,2800,223,0.585,2
104,0,2,Hong-Kong,55.84,0.0,106,54722.12,0.11,0.04,12.5,2866,402,0.37,2
105,3,24,Honolulu,96.55,0.04,25,54596.65,0.02,0.05,90.0,2100,342,0.195,2
106,11,24,Houston,64.44,0.08,173,54596.65,0.11,0.05,91.0,1433,581,0.43,2
108,13,16,Indianapolis,72.81,0.07,133,54596.65,0.06,0.05,88.0,1086,520,0.165,2
111,12,16,Jacksonville,67.19,0.07,85,54596.65,0.06,0.05,95.0,1150,384,0.155,2
114,15,16,Kansas-City,72.14,0.08,131,54596.65,0.04,0.05,121.0,1063,460,0.185,2
119,16,24,Knoxville,70.0,0.09,43,54596.65,0.05,0.05,97.0,1030,216,0.14,2
126,14,16,Las-Vegas,93.13,0.08,41,54596.65,0.17,0.05,211.0,1026,466,0.35,2
127,3,11,Lausanne,81.79,0.08,13,58087.21,0.06,0.03,0.0,1833,101,0.6499999999999999,2
136,8,24,Los-Angeles,93.19,0.09,222,54596.65,0.03,0.05,147.0,2266,779,0.395,2
137,14,16,Louisville,71.09,0.06,43,54596.65,0.03,0.05,93.0,933,257,0.145,2
138,1,25,Luxembourg,89.78,0.17,10,92048.55,0.09,0.07,12.9,2100,61,0.4549999999999999,2
141,10,24,Madison,82.97,0.06,34,54596.65,0.05,0.05,90.0,1300,282,0.12,2
151,16,16,Memphis,70.0,0.09,52,54596.65,0.01,0.05,118.0,996,231,0.1649999999999999,2
